Type,Immediate_vs_Future,Segment,Package_Type,Mega_Flavor,Seasonality,q2_2018,q3_2018,q4_2018,q1_2019,sales
NOVELTY,IMMEDIATE,NOT APPLICABLE,CHANGEMAKER,FRUIT,SEASONAL,149872,140871,119663,130229,643580
FRUITY CHEWY,FUTURE,MAINLINE,STANDUP BAG,SOUR,EVERYDAY,184733,187990,168203,182628,819506
LOLLIPOP,FUTURE,KIDS NOVELTY,LAYDOWN BAG,FRUIT,EVERYDAY,99949,126403,120724,96649,354743
GUMMY,FUTURE,GUMMY,PEG BAG,ASSORTED,EVERYDAY,152870,157349,147739,155794,659788
FRUITY CHEWY,FUTURE,MAINLINE,LAYDOWN BAG,ASSORTED,EVERYDAY,181,15,86514,4429,77604
NUT,FUTURE,NUT,PEG BAG,NUT,EVERYDAY,175082,158843,200802,127739,704883
GUMMY,FUTURE,GUMMY,PEG BAG,SOUR,EVERYDAY,114801,116980,95910,110764,513719
FRUITY CHEWY,IMMEDIATE,MAINLINE,SINGLE SIZE,FRUIT,EVERYDAY,780,181456,255037,7612,377326
ASSORTMENT MIXES,FUTURE,NOT APPLICABLE,LAYDOWN BAG,ASSORTED,SEASONAL,10,3,309101,8243,210944
GUMMY,FUTURE,NOT APPLICABLE,LAYDOWN BAG,ASSORTED,SEASONAL,210512,199288,198664,197636,746093
HARD CANDY,IMMEDIATE,CLASSIC FAVORITES,SINGLE SIZE,FRUIT,EVERYDAY,130795,132971,160974,165908,738205
HARD CANDY,IMMEDIATE,MAINLINE,THEATER BOX,ASSORTED,EVERYDAY,118138,140261,141919,173186,816024
GUMMY,FUTURE,GUMMY,PEG BAG,FRUIT,EVERYDAY,146303,154655,148726,129223,655033
JELLY BEANS,IMMEDIATE,MAINLINE,SHARE SIZE,ALL OTHER,EVERYDAY,163920,143627,135371,30187,22004
AO CHEWY,FUTURE,NOT APPLICABLE,BOX,FRUIT,SEASONAL,198428,141188,140280,273672,1050808
GUMMY,FUTURE,NOT APPLICABLE,BOX,SOUR,SEASONAL,22,99182,247748,202,321053
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,PEG BAG,FRUIT,EVERYDAY,173551,173787,137594,104118,1050146
HARD CANDY,FUTURE,SUGAR FREE CANDY,PEG BAG,CARAMEL,EVERYDAY,20136,30376,44320,67507,620960
JELLY BEANS,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,ASSORTED,EVERYDAY,185012,157245,162509,159874,744219
NOVELTY,IMMEDIATE,KIDS NOVELTY,CHANGEMAKER,ALL OTHER,EVERYDAY,155195,162372,152481,174392,810116
FRUITY CHEWY,FUTURE,NOT APPLICABLE,LAYDOWN BAG,FRUIT,SEASONAL,173498,164842,134288,164716,676020
LICORICE,FUTURE,LICORICE,TUB,FRUIT,EVERYDAY,34355,39885,41784,44665,531366
AO CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,ALL OTHER,EVERYDAY,208238,187765,190752,231389,985198
LICORICE,IMMEDIATE,LICORICE,SHARE SIZE,FRUIT,EVERYDAY,204058,186130,144867,137734,837791
AO CHEWY,FUTURE,NOT APPLICABLE,BOX,ALL OTHER,SEASONAL,87071,98916,87842,89883,439971
FRUITY CHEWY,IMMEDIATE,MAINLINE,CHANGEMAKER,ALL OTHER,EVERYDAY,155471,108814,104498,127895,495414
AO CHEWY,IMMEDIATE,ETHNIC,SHARE SIZE,ALL OTHER,EVERYDAY,166910,173372,155779,163177,779127
LICORICE,FUTURE,LICORICE,TUB,ALL OTHER,EVERYDAY,100721,101281,111752,124650,467967
GUMMY,IMMEDIATE,NOT APPLICABLE,SHARE SIZE,ASSORTED,SEASONAL,185263,185351,182473,180412,802617
AO CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,CARAMEL,EVERYDAY,655,103,321470,8957,418738
CANDY CANE,FUTURE,NOT APPLICABLE,BOX,SOUR,SEASONAL,188151,174798,166758,206144,879140
AO CHEWY,IMMEDIATE,MAINLINE,THEATER BOX,ALL OTHER,EVERYDAY,168741,160828,132395,132458,619346
FRUITY CHEWY,FUTURE,MAINLINE,PEG BAG,FRUIT,EVERYDAY,158151,159711,153895,154359,706348
AO CHEWY,FUTURE,NOT APPLICABLE,LAYDOWN BAG,ALL OTHER,SEASONAL,1373,77025,242437,2084,305412
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,FRUIT,EVERYDAY,179393,169816,153709,132524,802330
HARD CANDY,FUTURE,CLASSIC FAVORITES,STANDUP BAG,ASSORTED,EVERYDAY,16102,15625,16372,23767,57316
JELLY BEANS,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,ASSORTED,EVERYDAY,130856,142169,147486,144817,638398
LICORICE,IMMEDIATE,LICORICE,SHARE SIZE,FRUIT,EVERYDAY,176593,179373,163013,200821,891742
GUMMY,FUTURE,NOT APPLICABLE,LAYDOWN BAG,SOUR,SEASONAL,174643,176073,136547,106515,481103
LOLLIPOP,IMMEDIATE,KIDS NOVELTY,CHANGEMAKER,ALL OTHER,EVERYDAY,3,127379,125381,49,354484
GUMMY,FUTURE,GUMMY,LAYDOWN BAG,ASSORTED,EVERYDAY,162976,162769,152136,159411,701643
JELLY BEANS,FUTURE,NOT APPLICABLE,LAYDOWN BAG,FRUIT,SEASONAL,63151,105951,107259,51134,520630
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,FRUIT,EVERYDAY,145692,153720,142842,140005,594995
GUMMY,FUTURE,GUMMY,PEG BAG,FRUIT,EVERYDAY,212436,186626,147549,204445,1044708
JELLY BEANS,FUTURE,CLASSIC FAVORITES,STANDUP BAG,ASSORTED,EVERYDAY,109288,111077,116945,112528,466073
GUMMY,FUTURE,MAINLINE,PEG BAG,FRUIT,EVERYDAY,138032,139394,135807,157339,709429
JELLY BEANS,FUTURE,NOT APPLICABLE,LAYDOWN BAG,FRUIT,SEASONAL,160899,169947,158778,159509,655721
LICORICE,FUTURE,LICORICE,PEG BAG,ALL OTHER,EVERYDAY,577,1122,139809,11551,177580
FRUITY CHEWY,FUTURE,MAINLINE,PEG BAG,SOUR,EVERYDAY,129539,127104,117074,124888,728203
NOVELTY,IMMEDIATE,SUGAR FREE CANDY,CHANGEMAKER,FRUIT,EVERYDAY,56387,75313,77667,84968,522190
FRUITY CHEWY,FUTURE,MAINLINE,STANDUP BAG,SOUR,EVERYDAY,1009,1306,182203,14463,219057
