Type,Immediate_vs_Future,Segment,Package_Type,Mega_Flavor,Seasonality,q2_2018,q3_2018,q4_2018,q1_2019,sales
GUMMY,FUTURE,GUMMY,TUB,FRUIT,EVERYDAY,2874,1552,2609,4906,13656
FRUITY CHEWY,FUTURE,ETHNIC,BOX,FRUIT,EVERYDAY,710,1063,1201,4372,8858
LOLLIPOP,IMMEDIATE,NOT APPLICABLE,SHARE SIZE,FRUIT,SEASONAL,2264,916,4661,4286,19794
GUMMY,FUTURE,GUMMY,PEG BAG,SOUR,EVERYDAY,565,174,454,1055,2578
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,PEG BAG,FRUIT,EVERYDAY,158,522,595,494,1461
GUMMY,FUTURE,GUMMY,LAYDOWN BAG,ASSORTED,EVERYDAY,6929,6548,5561,10382,13260
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,ASSORTED,EVERYDAY,5721,6608,5093,5789,40361
AO CHEWY,IMMEDIATE,ETHNIC,SINGLE SIZE,ALL OTHER,EVERYDAY,853,850,900,912,4074
GUMMY,FUTURE,GUMMY,LAYDOWN BAG,FRUIT,EVERYDAY,1720,9205,5311,1068,11883
GUMMY,FUTURE,GUMMY,LAYDOWN BAG,ASSORTED,EVERYDAY,407,391,295,137,1159
ASSORTMENT MIXES,FUTURE,ASSORTMENT MIXES,LAYDOWN BAG,ASSORTED,EVERYDAY,1187,1599,621,981,3811
LOLLIPOP,FUTURE,ETHNIC,LAYDOWN BAG,FRUIT,EVERYDAY,10645,11566,8380,9275,19348
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,PEG BAG,FRUIT,EVERYDAY,2110,1086,2659,3090,13723
AO CHEWY,FUTURE,ETHNIC,PEG BAG,ALL OTHER,EVERYDAY,107,53,70,99,2303
GUMMY,FUTURE,GUMMY,PEG BAG,SOUR,EVERYDAY,1797,2192,1018,1123,3434
NOVELTY,FUTURE,KIDS NOVELTY,TUB,ASSORTED,EVERYDAY,138940,77286,1400,73,167954
LOLLIPOP,IMMEDIATE,KIDS NOVELTY,SINGLE SIZE,ASSORTED,EVERYDAY,23971,28334,10127,8571,53845
HARD CANDY,IMMEDIATE,CLASSIC FAVORITES,CHANGEMAKER,FRUIT,EVERYDAY,1203,1225,1799,2061,7569
NUT,FUTURE,NOT APPLICABLE,LAYDOWN BAG,NUT,SEASONAL,535,565,657,540,3001
NUT,FUTURE,NUT,PEG BAG,ALL OTHER,EVERYDAY,1098,991,814,743,2653
AO CHEWY,FUTURE,CLASSIC FAVORITES,BOX,NUT,EVERYDAY,2126,1268,1093,2882,5100
LOLLIPOP,FUTURE,NOT APPLICABLE,BOX,ALL OTHER,SEASONAL,894,1689,708,867,6765
GUMMY,FUTURE,GUMMY,TUB,SOUR,EVERYDAY,777,1198,768,864,3332
HARD CANDY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,FRUIT,EVERYDAY,3617,5636,2058,1610,4848
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,FRUIT,EVERYDAY,598,537,840,996,3377
FRUITY CHEWY,FUTURE,MAINLINE,PEG BAG,FRUIT,EVERYDAY,1661,2044,1315,1758,7367
NUT,FUTURE,NUT,LAYDOWN BAG,NUT,EVERYDAY,26316,28376,25886,21897,98083
NUT,FUTURE,ETHNIC,PEG BAG,NUT,EVERYDAY,706,593,531,456,8744
NUT,IMMEDIATE,ETHNIC,THEATER BOX,NUT,EVERYDAY,417,317,277,466,1339
NUT,IMMEDIATE,NOT APPLICABLE,THEATER BOX,NUT,SEASONAL,7,11,25,38,1029
AO CHEWY,FUTURE,ETHNIC,PEG BAG,ALL OTHER,EVERYDAY,805,613,451,607,4594
AO CHEWY,FUTURE,CLASSIC FAVORITES,TUB,CARAMEL,EVERYDAY,4217,5372,718,747,10850
NUT,IMMEDIATE,ETHNIC,THEATER BOX,NUT,EVERYDAY,2702,2440,2271,1538,5459
FRUITY CHEWY,FUTURE,MAINLINE,LAYDOWN BAG,ASSORTED,EVERYDAY,799,727,592,513,1654
NUT,IMMEDIATE,ETHNIC,CHANGEMAKER,NUT,EVERYDAY,96105,93982,91292,92195,283480
GUMMY,FUTURE,GUMMY,LAYDOWN BAG,FRUIT,EVERYDAY,921,810,287,345,2586
NOVELTY,IMMEDIATE,KIDS NOVELTY,CHANGEMAKER,FRUIT,EVERYDAY,483,613,574,511,2679
GUMMY,FUTURE,GUMMY,BOX,FRUIT,EVERYDAY,505,475,475,917,3463
ASSORTMENT MIXES,IMMEDIATE,ASSORTMENT MIXES,SHARE SIZE,ASSORTED,EVERYDAY,743,833,713,830,2990
AO CHEWY,IMMEDIATE,CLASSIC FAVORITES,SHARE SIZE,CARAMEL,EVERYDAY,41456,35588,31995,18813,48494
LICORICE,FUTURE,LICORICE,LAYDOWN BAG,ALL OTHER,EVERYDAY,4474,3220,4281,3449,14497
NOVELTY,IMMEDIATE,KIDS NOVELTY,CHANGEMAKER,SOUR,EVERYDAY,2373,1917,1161,197,1543
JELLY BEANS,FUTURE,CLASSIC FAVORITES,PEG BAG,ALL OTHER,EVERYDAY,5895,7712,4382,5871,33510
FRUITY CHEWY,IMMEDIATE,MAINLINE,CHANGEMAKER,FRUIT,EVERYDAY,194,302,456,270,1879
AO CHEWY,FUTURE,ETHNIC,PEG BAG,ALL OTHER,EVERYDAY,1876,5041,2577,7023,4694
AO CHEWY,FUTURE,ETHNIC,LAYDOWN BAG,ALL OTHER,EVERYDAY,18705,16454,9836,6434,15453
AO CHEWY,FUTURE,CLASSIC FAVORITES,PEG BAG,ALL OTHER,EVERYDAY,2689,5555,1637,5526,37421
NUT,FUTURE,NUT,PEG BAG,NUT,EVERYDAY,138,143,182,1278,4501
AO CHEWY,IMMEDIATE,CLASSIC FAVORITES,CHANGEMAKER,CARAMEL,EVERYDAY,8920,33471,26476,14201,30472
AO CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,ASSORTED,EVERYDAY,1266,1515,885,962,1759
GUMMY,IMMEDIATE,GUMMY,SHARE SIZE,SOUR,EVERYDAY,774,349,194,1042,3347
GUMMY,FUTURE,GUMMY,TUB,SOUR,EVERYDAY,6899,6762,5263,5662,15126
LICORICE,FUTURE,LICORICE,TUB,ALL OTHER,EVERYDAY,456,405,343,463,2329
GUMMY,IMMEDIATE,GUMMY,SHARE SIZE,FRUIT,EVERYDAY,41189,2576,1588,6197,202930
GUMMY,FUTURE,GUMMY,LAYDOWN BAG,FRUIT,EVERYDAY,221,240,152,214,1635
HARD CANDY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,ALL OTHER,EVERYDAY,2456,2355,1272,2354,8793
GUMMY,FUTURE,GUMMY,PEG BAG,SOUR,EVERYDAY,812,699,670,945,2500
GUMMY,FUTURE,GUMMY,LAYDOWN BAG,ASSORTED,EVERYDAY,414,788,1909,2159,7711
JELLY BEANS,FUTURE,CLASSIC FAVORITES,PEG BAG,ASSORTED,EVERYDAY,74144,70786,59714,50891,175764
NOVELTY,FUTURE,KIDS NOVELTY,PEG BAG,ALL OTHER,EVERYDAY,4739,3905,3860,4168,10969
AO CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,ALL OTHER,EVERYDAY,338,495,455,173,1796
AO CHEWY,FUTURE,ETHNIC,PEG BAG,ALL OTHER,EVERYDAY,1546,1105,996,819,50731
GUMMY,FUTURE,GUMMY,PEG BAG,FRUIT,EVERYDAY,732,829,617,800,2651
NOVELTY,FUTURE,KIDS NOVELTY,PEG BAG,ASSORTED,EVERYDAY,9212,11550,10539,1246,2806
GUMMY,FUTURE,GUMMY,LAYDOWN BAG,ASSORTED,EVERYDAY,3379,3696,4238,2599,25647
JELLY BEANS,FUTURE,CLASSIC FAVORITES,PEG BAG,ASSORTED,EVERYDAY,24,1,658,247071,228699
GUMMY,FUTURE,GUMMY,PEG BAG,FRUIT,EVERYDAY,452,98,467,869,792
LICORICE,FUTURE,LICORICE,LAYDOWN BAG,ASSORTED,EVERYDAY,287,554,347,253,1446
GUMMY,FUTURE,GUMMY,LAYDOWN BAG,ASSORTED,EVERYDAY,32787,33441,38950,34385,163530
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,PEG BAG,FRUIT,EVERYDAY,7307,3659,1917,1063,531
AO CHEWY,FUTURE,ETHNIC,ALL OTHER,ALL OTHER,EVERYDAY,194,308,38,699,2937
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,TUB,FRUIT,EVERYDAY,1145,1051,956,1125,4023
AO CHEWY,IMMEDIATE,ETHNIC,SINGLE SIZE,ALL OTHER,EVERYDAY,709,1598,717,792,3413
FRUITY CHEWY,IMMEDIATE,CLASSIC FAVORITES,SINGLE SIZE,ASSORTED,EVERYDAY,970,1317,654,1001,3273
CANDY CORN,FUTURE,CLASSIC FAVORITES,PEG BAG,ALL OTHER,EVERYDAY,609,514,979,757,3026
ASSORTMENT MIXES,FUTURE,ETHNIC,PEG BAG,ALL OTHER,EVERYDAY,1224,1707,858,945,4845
NUT,FUTURE,ETHNIC,PEG BAG,ALL OTHER,EVERYDAY,20415,11009,8170,15117,15794
GUMMY,FUTURE,GUMMY,TUB,SOUR,EVERYDAY,327,265,227,258,1426
FRUITY CHEWY,FUTURE,MAINLINE,TUB,ASSORTED,EVERYDAY,2769,1367,737,497,2007
NUT,IMMEDIATE,NUT,SHARE SIZE,NUT,EVERYDAY,708,290,373,543,2889
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,PEG BAG,ALL OTHER,EVERYDAY,1381,1875,1095,3883,13152
GUMMY,IMMEDIATE,GUMMY,SHARE SIZE,ASSORTED,EVERYDAY,376,331,544,211,1792
ASSORTMENT MIXES,FUTURE,ASSORTMENT MIXES,PEG BAG,ASSORTED,EVERYDAY,1123,1237,775,1008,4827
AO CHEWY,FUTURE,NOT APPLICABLE,PEG BAG,ALL OTHER,SEASONAL,10306,11196,6430,9814,30937
GUMMY,IMMEDIATE,GUMMY,THEATER BOX,ALL OTHER,EVERYDAY,1078,1151,1424,1242,4449
ASSORTMENT MIXES,IMMEDIATE,ASSORTMENT MIXES,CHANGEMAKER,ASSORTED,EVERYDAY,290,493,604,731,2180
GUMMY,FUTURE,ETHNIC,TUB,FRUIT,EVERYDAY,6,60749,234193,127,222241
ASSORTMENT MIXES,FUTURE,ASSORTMENT MIXES,LAYDOWN BAG,ASSORTED,EVERYDAY,2386,1818,1531,1233,4866
NUT,FUTURE,NUT,TUB,ALL OTHER,EVERYDAY,104961,96435,88900,91164,252883
FRUITY CHEWY,IMMEDIATE,MAINLINE,THEATER BOX,ASSORTED,EVERYDAY,1939,1791,1555,1435,10915
CANDY CORN,FUTURE,CLASSIC FAVORITES,PEG BAG,ALL OTHER,EVERYDAY,411,624,458,58,1982
HARD CANDY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,FRUIT,EVERYDAY,10415,6735,4225,1802,11125
NUT,FUTURE,ETHNIC,BOX,CARAMEL,EVERYDAY,9782,2477,1258,850,3224
GUMMY,FUTURE,GUMMY,TUB,ASSORTED,EVERYDAY,695,2908,1135,494,1940
AO CHEWY,FUTURE,CLASSIC FAVORITES,PEG BAG,ALL OTHER,EVERYDAY,519,650,115,274,1221
GUMMY,FUTURE,GUMMY,TUB,SOUR,EVERYDAY,436,595,964,654,3110
NUT,IMMEDIATE,NUT,SHARE SIZE,ALL OTHER,EVERYDAY,253,491,489,898,4220
ASSORTMENT MIXES,IMMEDIATE,ETHNIC,SINGLE SIZE,ALL OTHER,EVERYDAY,2538,4899,1847,2298,19523
LICORICE,FUTURE,LICORICE,PEG BAG,ASSORTED,EVERYDAY,652,238,119,577,6743
FRUITY CHEWY,FUTURE,MAINLINE,PEG BAG,ASSORTED,EVERYDAY,1300,394,857,389,6977
NOVELTY,IMMEDIATE,KIDS NOVELTY,SINGLE SIZE,ALL OTHER,EVERYDAY,1624,1054,736,585,3771
FRUITY CHEWY,IMMEDIATE,MAINLINE,CHANGEMAKER,FRUIT,EVERYDAY,1366,1329,1663,1014,2678
LOLLIPOP,IMMEDIATE,KIDS NOVELTY,SINGLE SIZE,FRUIT,EVERYDAY,584,431,540,911,3168
JELLY BEANS,FUTURE,CLASSIC FAVORITES,PEG BAG,FRUIT,EVERYDAY,339,272,269,180,1871
GUMMY,FUTURE,GUMMY,PEG BAG,FRUIT,EVERYDAY,632,909,1080,636,3664
NUT,IMMEDIATE,NUT,SINGLE SIZE,NUT,EVERYDAY,40868,39017,45240,29688,31033
AO CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,ALL OTHER,EVERYDAY,210,202,497,425,2568
GUMMY,FUTURE,GUMMY,TUB,FRUIT,EVERYDAY,2351,2291,1900,669,6448
NOVELTY,IMMEDIATE,NOT APPLICABLE,SINGLE SIZE,ASSORTED,SEASONAL,210,326,325,143,622
GUMMY,FUTURE,GUMMY,TUB,SOUR,EVERYDAY,4050,4074,3185,1883,5474
GUMMY,FUTURE,GUMMY,TUB,ALL OTHER,EVERYDAY,2127,609,4108,212,8380
AO CHEWY,FUTURE,CLASSIC FAVORITES,TUB,ALL OTHER,EVERYDAY,309,326,274,234,1835
NUT,FUTURE,ETHNIC,PEG BAG,NUT,EVERYDAY,1072,967,623,764,2925
GUMMY,FUTURE,GUMMY,PEG BAG,FRUIT,EVERYDAY,687,596,844,3680,12068
FRUITY CHEWY,FUTURE,ETHNIC,LAYDOWN BAG,FRUIT,EVERYDAY,198,4,510343,25462,464816
NOVELTY,FUTURE,ETHNIC,LAYDOWN BAG,FRUIT,EVERYDAY,4469,5353,5213,4195,15513
AO CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,ALL OTHER,EVERYDAY,255,404,566,389,1404
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,PEG BAG,SOUR,EVERYDAY,75,738,273,462,1289
NOVELTY,FUTURE,KIDS NOVELTY,TUB,SOUR,EVERYDAY,866,783,683,495,2873
JELLY BEANS,FUTURE,CLASSIC FAVORITES,STANDUP BAG,ASSORTED,EVERYDAY,823,617,986,1121,3836
NUT,FUTURE,NUT,BOX,NUT,EVERYDAY,3038,2901,3809,1494,1431
LICORICE,FUTURE,LICORICE,PEG BAG,SOUR,EVERYDAY,773,1747,1525,1255,8615
FRUITY CHEWY,IMMEDIATE,CLASSIC FAVORITES,CHANGEMAKER,SOUR,EVERYDAY,683,602,618,513,885
LICORICE,IMMEDIATE,LICORICE,SHARE SIZE,ALL OTHER,EVERYDAY,24,139,643,480,2713
GUMMY,FUTURE,GUMMY,PEG BAG,ASSORTED,EVERYDAY,2960,4977,5705,5827,17151
AO CHEWY,FUTURE,ETHNIC,PEG BAG,ALL OTHER,EVERYDAY,260,475,164,26,1712
FRUITY CHEWY,FUTURE,MAINLINE,LAYDOWN BAG,FRUIT,EVERYDAY,2120,2702,2234,1631,4483
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,PEG BAG,FRUIT,EVERYDAY,1367,1337,933,1198,5592
GUMMY,FUTURE,GUMMY,PEG BAG,ASSORTED,EVERYDAY,1704,1108,1162,758,4366
NUT,FUTURE,NUT,LAYDOWN BAG,NUT,EVERYDAY,1439,1232,919,802,3415
NUT,FUTURE,NUT,TUB,NUT,EVERYDAY,934,905,1365,842,3364
GUMMY,IMMEDIATE,ETHNIC,SHARE SIZE,ASSORTED,EVERYDAY,595,531,580,521,2553
AO CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,ALL OTHER,EVERYDAY,788,585,354,334,2350
JELLY BEANS,FUTURE,CLASSIC FAVORITES,PEG BAG,ASSORTED,EVERYDAY,217,312,143,98,943
HARD CANDY,FUTURE,ETHNIC,PEG BAG,ALL OTHER,EVERYDAY,181,136,388,460,1175
AO CHEWY,FUTURE,ETHNIC,STANDUP BAG,FRUIT,EVERYDAY,45,103,73,143,1504
FRUITY CHEWY,FUTURE,NOT APPLICABLE,BOX,FRUIT,SEASONAL,1619,869,1915,1800,4002
NOVELTY,FUTURE,ETHNIC,PEG BAG,FRUIT,EVERYDAY,403,883,444,630,2391
FRUITY CHEWY,FUTURE,MAINLINE,BOX,FRUIT,EVERYDAY,5712,3728,1309,1843,12714
AO CHEWY,FUTURE,CLASSIC FAVORITES,TUB,ALL OTHER,EVERYDAY,857,1258,834,4015,14672
JELLY BEANS,FUTURE,CLASSIC FAVORITES,PEG BAG,ASSORTED,EVERYDAY,5739,7947,9286,6416,21511
LICORICE,IMMEDIATE,LICORICE,SHARE SIZE,FRUIT,EVERYDAY,66034,20860,3312,5833,133168
NUT,FUTURE,ETHNIC,PEG BAG,NUT,EVERYDAY,10511,83300,33994,9330,16993
JELLY BEANS,IMMEDIATE,NOT APPLICABLE,SINGLE SIZE,ASSORTED,SEASONAL,1615,1332,1278,1464,4971
FRUITY CHEWY,FUTURE,ETHNIC,STANDUP BAG,ASSORTED,EVERYDAY,663,632,675,664,2899
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,FRUIT,EVERYDAY,1594,1258,407,446,3027
NOVELTY,FUTURE,KIDS NOVELTY,PEG BAG,ASSORTED,EVERYDAY,269,197,84,85,2036
LOLLIPOP,FUTURE,KIDS NOVELTY,PEG BAG,ASSORTED,EVERYDAY,538,960,1158,915,4167
NOVELTY,FUTURE,KIDS NOVELTY,BOX,ALL OTHER,EVERYDAY,1593,14112,37692,591,208198
AO CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,ALL OTHER,EVERYDAY,1369,208,2546,2026,4454
CANDY CORN,FUTURE,CLASSIC FAVORITES,PEG BAG,ALL OTHER,EVERYDAY,795,798,1051,1395,3445
AO CHEWY,FUTURE,CLASSIC FAVORITES,TUB,ALL OTHER,EVERYDAY,23,486,128,17,81
AO CHEWY,IMMEDIATE,CLASSIC FAVORITES,SHARE SIZE,ALL OTHER,EVERYDAY,595,795,623,935,2811
LOLLIPOP,IMMEDIATE,KIDS NOVELTY,CHANGEMAKER,ALL OTHER,EVERYDAY,35842,25865,22022,23372,133020
AO CHEWY,FUTURE,ETHNIC,PEG BAG,ALL OTHER,EVERYDAY,2660,12213,4362,480,1352
NUT,FUTURE,NUT,TUB,NUT,EVERYDAY,268,422,739,628,3272
AO CHEWY,FUTURE,NOT APPLICABLE,PEG BAG,ALL OTHER,SEASONAL,351,345,395,567,1720
LICORICE,IMMEDIATE,LICORICE,SHARE SIZE,ASSORTED,EVERYDAY,14,15,18,21,361
GUMMY,IMMEDIATE,GUMMY,SHARE SIZE,ASSORTED,EVERYDAY,1505,1302,1166,914,4955
FRUITY CHEWY,FUTURE,MAINLINE,PEG BAG,ASSORTED,EVERYDAY,8623,2985,1246,917,3212
NUT,FUTURE,ETHNIC,TUB,NUT,EVERYDAY,61042,13976,19573,11878,26491
GUMMY,FUTURE,GUMMY,LAYDOWN BAG,FRUIT,EVERYDAY,944,1475,2669,2727,16252
NUT,FUTURE,NUT,ALL OTHER,NUT,EVERYDAY,2538,2827,3243,4894,9161
GUMMY,FUTURE,GUMMY,PEG BAG,FRUIT,EVERYDAY,1559,1951,1283,904,3289
JELLY BEANS,FUTURE,NOT APPLICABLE,LAYDOWN BAG,ASSORTED,SEASONAL,1028,1106,1904,1586,5632
JELLY BEANS,FUTURE,CLASSIC FAVORITES,PEG BAG,ASSORTED,EVERYDAY,1050,734,625,684,2398
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,PEG BAG,SOUR,EVERYDAY,25,617,616,1255,6457
GUMMY,FUTURE,GUMMY,PEG BAG,ASSORTED,EVERYDAY,776,500,420,4,4196
HARD CANDY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,CARAMEL,EVERYDAY,6820,16222,3013,14039,24877
LICORICE,FUTURE,LICORICE,PEG BAG,FRUIT,EVERYDAY,83,278,142,233,1662
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,TUB,FRUIT,EVERYDAY,929,618,892,788,3054
LICORICE,IMMEDIATE,LICORICE,SHARE SIZE,FRUIT,EVERYDAY,22,8,100,87,2573
NOVELTY,FUTURE,ETHNIC,PEG BAG,ALL OTHER,EVERYDAY,1821,1549,819,343,7268
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,TUB,FRUIT,EVERYDAY,1874,1186,1119,1361,3239
LOLLIPOP,FUTURE,KIDS NOVELTY,PEG BAG,ASSORTED,EVERYDAY,230,245,168,168,753
LICORICE,FUTURE,LICORICE,LAYDOWN BAG,FRUIT,EVERYDAY,34835,39821,28852,31973,131746
GUMMY,FUTURE,GUMMY,BOX,ALL OTHER,EVERYDAY,5916,6717,4596,6537,30907
FRUITY CHEWY,IMMEDIATE,MAINLINE,SHARE SIZE,SOUR,EVERYDAY,10569,7866,8087,8377,43710
NUT,IMMEDIATE,ETHNIC,SHARE SIZE,ALL OTHER,EVERYDAY,283,308,662,287,1120
FRUITY CHEWY,FUTURE,MAINLINE,PEG BAG,ASSORTED,EVERYDAY,55111,53830,42683,40416,166128
NOVELTY,IMMEDIATE,KIDS NOVELTY,CHANGEMAKER,FRUIT,EVERYDAY,2464,1880,1839,1641,4930
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,PEG BAG,FRUIT,EVERYDAY,142611,3612,1517,484426,814858
NOVELTY,IMMEDIATE,KIDS NOVELTY,SINGLE SIZE,ASSORTED,EVERYDAY,711,868,856,803,5211
NOVELTY,IMMEDIATE,KIDS NOVELTY,CHANGEMAKER,FRUIT,EVERYDAY,77,37,31,291,519
NOVELTY,IMMEDIATE,KIDS NOVELTY,CHANGEMAKER,ASSORTED,EVERYDAY,961,1071,885,1290,5146
GUMMY,FUTURE,GUMMY,TUB,FRUIT,EVERYDAY,497,551,498,413,2447
AO CHEWY,FUTURE,ETHNIC,LAYDOWN BAG,ALL OTHER,EVERYDAY,632,150,689,352,696
LICORICE,FUTURE,LICORICE,STANDUP BAG,ALL OTHER,EVERYDAY,621,698,572,694,2883
GUMMY,IMMEDIATE,GUMMY,SHARE SIZE,FRUIT,EVERYDAY,1122,923,583,827,3928
HARD CANDY,FUTURE,CLASSIC FAVORITES,BOX,FRUIT,EVERYDAY,367,503,504,906,2549
NUT,FUTURE,NUT,TUB,ALL OTHER,EVERYDAY,665,1016,430,589,2461
GUMMY,FUTURE,GUMMY,TUB,SOUR,EVERYDAY,654,1076,2490,1386,7078
AO CHEWY,FUTURE,ETHNIC,PEG BAG,ALL OTHER,EVERYDAY,1090,1438,1530,2234,7274
ALL OTHER,IMMEDIATE,NOT APPLICABLE,CHANGEMAKER,ALL OTHER,SEASONAL,160,154,191,151,1613
GUMMY,FUTURE,GUMMY,TUB,ASSORTED,EVERYDAY,64,53,182,91,1000
GUMMY,FUTURE,GUMMY,LAYDOWN BAG,FRUIT,EVERYDAY,525,1539,3229,4235,7322
ALL OTHER,IMMEDIATE,NOT APPLICABLE,SINGLE SIZE,FRUIT,SEASONAL,13294,21849,16274,22703,82564
FRUITY CHEWY,IMMEDIATE,CLASSIC FAVORITES,SINGLE SIZE,SOUR,EVERYDAY,162,876,691,410,4250
HARD CANDY,FUTURE,CLASSIC FAVORITES,BOX,ASSORTED,EVERYDAY,1946,5006,449,468,2526
ALL OTHER,IMMEDIATE,MAINLINE,CHANGEMAKER,SOUR,EVERYDAY,717,707,389,266,1981
AO CHEWY,FUTURE,ETHNIC,PEG BAG,SOUR,EVERYDAY,3436,14361,6750,976,58646
AO CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,ALL OTHER,EVERYDAY,97,92,816,540,3167
GUMMY,FUTURE,GUMMY,LAYDOWN BAG,SOUR,EVERYDAY,989,330,318,747,1755
GUMMY,FUTURE,GUMMY,PEG BAG,ASSORTED,EVERYDAY,2801,2366,2662,2110,8495
HARD CANDY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,FRUIT,EVERYDAY,1225,1168,1501,1125,4011
HARD CANDY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,FRUIT,EVERYDAY,31,105,57,24,1216
FRUITY CHEWY,FUTURE,MAINLINE,PEG BAG,ASSORTED,EVERYDAY,29,90,5663,1230,1261
AO CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,CARAMEL,EVERYDAY,488,703,235,236,1650
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,PEG BAG,ASSORTED,EVERYDAY,99149,251266,64770,16644,21952
AO CHEWY,IMMEDIATE,ETHNIC,THEATER BOX,ALL OTHER,EVERYDAY,1184,564,532,1279,3895
FRUITY CHEWY,FUTURE,LICORICE,TUB,ALL OTHER,EVERYDAY,108,1,39,37,2148
GUMMY,FUTURE,GUMMY,PEG BAG,FRUIT,EVERYDAY,4737,2167,3469,1710,3351
FRUITY CHEWY,FUTURE,MAINLINE,LAYDOWN BAG,ASSORTED,EVERYDAY,604,1156,524,793,2856
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,FRUIT,EVERYDAY,113,414,435,501,1715
GUMMY,FUTURE,GUMMY,PEG BAG,FRUIT,EVERYDAY,256,1192,426,389,2928
JELLY BEANS,FUTURE,CLASSIC FAVORITES,PEG BAG,SOUR,EVERYDAY,150,412,608,831,14318
NOVELTY,IMMEDIATE,KIDS NOVELTY,CHANGEMAKER,FRUIT,EVERYDAY,2982,2928,2819,2140,3581
HARD CANDY,FUTURE,CLASSIC FAVORITES,PEG BAG,SOUR,EVERYDAY,7078,7281,4295,5521,10622
NOVELTY,FUTURE,KIDS NOVELTY,PEG BAG,SOUR,EVERYDAY,1828,1475,1112,1561,2069
FRUITY CHEWY,FUTURE,MAINLINE,BOX,FRUIT,EVERYDAY,4685,4539,12250,13571,45537
HARD CANDY,FUTURE,CLASSIC FAVORITES,PEG BAG,ALL OTHER,EVERYDAY,830,1029,763,1080,3314
AO CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,ASSORTED,EVERYDAY,6739,26698,18889,24644,35278
GUMMY,FUTURE,GUMMY,LAYDOWN BAG,SOUR,EVERYDAY,15157,14061,10704,11938,51059
NOVELTY,IMMEDIATE,KIDS NOVELTY,SINGLE SIZE,FRUIT,EVERYDAY,39762,25800,17520,20277,18178
NOVELTY,IMMEDIATE,KIDS NOVELTY,CHANGEMAKER,ASSORTED,EVERYDAY,3,18,31,108,473
GUMMY,FUTURE,GUMMY,PEG BAG,SOUR,EVERYDAY,163103,148562,103381,46282,98367
HARD CANDY,FUTURE,MAINLINE,TUB,ALL OTHER,EVERYDAY,395,469,380,381,1555
HARD CANDY,FUTURE,CLASSIC FAVORITES,PEG BAG,ALL OTHER,EVERYDAY,2672,4495,3056,94,14027
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,TUB,ASSORTED,EVERYDAY,33455,30055,26046,26794,97108
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,FRUIT,EVERYDAY,1553,1693,1010,1284,4368
GUMMY,FUTURE,GUMMY,PEG BAG,ASSORTED,EVERYDAY,3859,8947,3338,1484,16644
LOLLIPOP,IMMEDIATE,ETHNIC,SINGLE SIZE,ASSORTED,EVERYDAY,6247,7185,6372,7459,27252
LICORICE,FUTURE,LICORICE,LAYDOWN BAG,ALL OTHER,EVERYDAY,1032,1547,1480,1725,4908
HARD CANDY,FUTURE,CLASSIC FAVORITES,PEG BAG,FRUIT,EVERYDAY,720,706,1005,1279,2704
HARD CANDY,IMMEDIATE,NOT APPLICABLE,CHANGEMAKER,ASSORTED,SEASONAL,447,557,681,422,1985
NOVELTY,IMMEDIATE,KIDS NOVELTY,CHANGEMAKER,ASSORTED,EVERYDAY,5383,3597,6577,4767,22442
LOLLIPOP,FUTURE,KIDS NOVELTY,LAYDOWN BAG,FRUIT,EVERYDAY,15743,16963,12846,14181,62000
